1475,小川 未明,51106,あかい雲
1475,小川 未明,51122,風ふき鳥
311,宮本 百合子,15998,気になったこと
1475,小川 未明,52116,もののいえないもの
1475,小川 未明,51500,兄と魚
1475,小川 未明,51511,おかまの唄
67,萩原 朔太郎,56575,愛の詩集
1475,小川 未明,52097,夏の晩方あった話
106,北原 白秋,55758,蟇
26,中原 中也,55929,（テンピにかけて）
293,原 民喜,43538,うぐいす
1475,小川 未明,51503,ある夜の姉と弟
1475,小川 未明,51112,童謡
1475,小川 未明,51682,窓の内と外
1475,小川 未明,51593,すずめを打つ
106,北原 白秋,55766,影
1172,村山 籌子,44940,ユキ　ノ　トンネル
26,中原 中也,55916,（酒）
1471,今野 大力,55580,宵の星
26,中原 中也,51309,いちじくの葉
1172,村山 籌子,44997,スナマンヂウ
121,新美 南吉,43479,タレノ　カゲ
121,新美 南吉,43478,ゲタニ　バケル
121,新美 南吉,56140,丘の銅像
26,中原 中也,55907,タバコとマントの恋
1471,今野 大力,55543,自然教徒
26,中原 中也,55909,（あなたが生れたその日に）
26,中原 中也,55922,（不随意筋のケンクワ）
291,林 芙美子,56871,ふしぎな岩
1172,村山 籌子,45002,ウミベノマヒゴ
1095,坂口 安吾,43160,単独犯行に非ず
34,内村 鑑三,1215,寒中の木の芽
1168,高村 光太郎,43784,山の雪
136,山村 暮鳥,45039,昔語り
1172,村山 籌子,44959,あひるさん　の　かみのけ
1172,村山 籌子,44974,耳長さん　と　あひるさん
1471,今野 大力,55584,北海の夜
1475,小川 未明,52042,海のおばあさん
1092,グリム ヴィルヘルム・カール,59404,小人のくつ屋さん
26,中原 中也,51332,坊や
1172,村山 籌子,44949,犬さんと、くもさんと、かへるさん
1475,小川 未明,51523,考えこじき
1475,小川 未明,51619,つばめと魚
1475,小川 未明,52060,子うぐいすと母うぐいす
1092,グリム ヴィルヘルム・カール,59499,ネコとネズミのいっしょのくらし
1154,岸田 国士,44847,『現代短歌大系』のために
1403,北大路 魯山人,50009,料理の第一歩
1471,今野 大力,55574,父母達の家
1475,小川 未明,51614,中学へ上がった日
26,中原 中也,51315,酒場にて
1475,小川 未明,51609,だれにも話さなかったこと
1475,小川 未明,52072,西洋だこと六角だこ
1589,落合 ユキ子,44985,カハイイ　山羊サン
329,楠山 正雄,18378,舌切りすずめ
1154,岸田 国士,44702,戦争指導者
1666,漢那 浪笛,1316,かの日の歌【三】
1666,漢那 浪笛,1402,心
1475,小川 未明,51701,山に雪光る
1475,小川 未明,51525,きつねをおがんだ人たち
1475,小川 未明,51690,道の上で見た話
121,新美 南吉,45212,いぼ
1475,小川 未明,51508,海へ帰るおじさん
1475,小川 未明,51722,クラリネットを吹く男
1475,小川 未明,51656,母の心
19,アンデルセン ハンス・クリスチャン,59324,ブタ飼い
1475,小川 未明,52041,海と少年
1471,今野 大力,55563,白光礼讃
293,原 民喜,43530,気絶人形
154,田中 貢太郎,45597,長崎の電話
42,寺田 寅彦,43534,PROFESSOR TAKEMATU OKADA
1475,小川 未明,51607,たましいは生きている
1475,小川 未明,52046,おさらい帳
1092,グリム ヴィルヘルム・カール,59742,いさましい　ちびの仕立屋さん
1891,矢崎 源九郎,58050,「ニールスのふしぎな旅　上」まえがき
1475,小川 未明,52109,古いはさみ
1475,小川 未明,50988,つばめの話
1471,今野 大力,55566,義男さん
19,アンデルセン ハンス・クリスチャン,59321,いたずらっ子
1637,中野 鈴子,58798,歓喜
2051,松本 竣介,59538,天に続く道
1172,村山 籌子,44948,十五夜のお月様
1475,小川 未明,52111,僕たちは愛するけれど
1471,今野 大力,55537,幸福を
1154,岸田 国士,44398,練習曲
1475,小川 未明,51580,宿題
1475,小川 未明,51071,海ほおずき
1475,小川 未明,51117,月が出る
1475,小川 未明,52035,赤い実
1475,小川 未明,51100,水盤の王さま
329,楠山 正雄,18388,長い名
1761,小津 安二郎,55949,ここが楢山
1346,片山 広子,49517,コーヒー五千円
311,宮本 百合子,15988,平和を保つため
311,宮本 百合子,15999,戦争・平和・曲学阿世
1154,岸田 国士,44669,ジーブルグ著「神はフランスにゐるか」
1475,小川 未明,51114,お母さん
1475,小川 未明,51551,金色のボタン
1475,小川 未明,51581,正二くんの時計
169,大杉 栄,56696,僕は精神が好きだ
1475,小川 未明,52099,ねこ
311,宮本 百合子,15960,四時の変化と関りのない書斎
1471,今野 大力,55571,写真（北満の土産）その二
1475,小川 未明,51612,小さなねじ
1095,坂口 安吾,49949,安吾新日本風土記
908,坂本 竜馬,52150,俚謡一
311,宮本 百合子,15989,東宝争議について
1475,小川 未明,52077,小さな年ちゃん
1475,小川 未明,52064,さびしいお母さん
1589,落合 ユキ子,44986,ミミヅクサン
678,富永 太郎,55465,AU RIMBAUD
1154,岸田 国士,44825,生活から学ぶ
1475,小川 未明,52063,子供の床屋
26,中原 中也,55915,（酒は誰でも酔はす）
1471,今野 大力,55561,写真（北満の土産）その一
19,アンデルセン ハンス・クリスチャン,59373,お墓の中の坊や
1475,小川 未明,51630,鳥鳴く朝のちい子ちゃん
1403,北大路 魯山人,50016,カンナとオンナ
107,鈴木 三重吉,1528,湖水の女
121,新美 南吉,633,張紅倫
1475,小川 未明,51110,管笛
1475,小川 未明,51124,海
906,豊島 与志雄,45063,太一の靴は世界一
1475,小川 未明,51094,星と柱を数えたら
26,中原 中也,55918,（天才が一度恋をすると）
1475,小川 未明,52040,犬と古洋傘
26,中原 中也,55707,感想
26,中原 中也,55900,想像力の悲歌
107,鈴木 三重吉,45182,ぽつぽのお手帳
1475,小川 未明,52115,もずとすぎの木
1475,小川 未明,51650,羽衣物語
1475,小川 未明,51710,雪消え近く
1475,小川 未明,52118,ゆずの話
1475,小川 未明,51665,日の当たる門
1666,漢那 浪笛,2038,つかれ
1338,羽仁 もと子,48660,今、生まれしみどり児
1471,今野 大力,55515,街の乞食
1172,村山 籌子,44994,にはとり　は　みんな　しあわせ
1475,小川 未明,52078,父親と自転車
1155,チェーホフ アントン,45195,てがみ
1475,小川 未明,51668,風船虫
1154,岸田 国士,44874,「時・処・人」まへがき
1475,小川 未明,52054,気にいらない鉛筆
1475,小川 未明,52067,少年と秋の日
1475,小川 未明,51716,夢のような昼と晩
1471,今野 大力,55585,聖の行くべき道
1471,今野 大力,55590,光よあれ
83,菊池 寛,43122,アラビヤンナイト
1475,小川 未明,52094,隣村の子
1172,村山 籌子,44950,アヒルサン　ト　オネコサン
136,山村 暮鳥,45038,雪
1471,今野 大力,55544,豌豆畑
1471,今野 大力,55586,瘋癲病舎
329,楠山 正雄,18335,ねずみの嫁入り
1092,グリム ヴィルヘルム・カール,59743,三枚のヘビの葉
1471,今野 大力,55578,友と二人の夜
1172,村山 籌子,44993,お鍋　と　おやかん　と　フライパン　の　けんくわ
1471,今野 大力,55516,夢と幻を見る家
678,富永 太郎,55499,ランボオへ
311,宮本 百合子,15985,“生れた権利”をうばうな
311,宮本 百合子,15986,私は何を読むか
908,坂本 竜馬,51960,手紙
908,坂本 竜馬,51857,手紙
908,坂本 竜馬,51784,手紙
1154,岸田 国士,44841,十五年
1154,岸田 国士,44856,近況
311,宮本 百合子,15983,生きるための恋愛
1471,今野 大力,55583,街の子等
1154,岸田 国士,44384,「文壇波動調」欄記事
19,アンデルセン ハンス・クリスチャン,59372,家じゅうの人たちの言ったこと
1990,芥川 紗織,59016,現代作家は古典をどうみるか
1403,北大路 魯山人,49977,材料か料理か
1092,グリム ヴィルヘルム・カール,59522,マリアの子ども
1349,武田 祐吉,51730,古事記
106,北原 白秋,55770,光ノミ
26,中原 中也,55911,（過程に興味が存するばかりです）
1154,岸田 国士,44821,棄権
26,中原 中也,55914,（汽車が聞える）
305,正岡 子規,50402,酒
311,宮本 百合子,15992,批評は解放の組織者である
1172,村山 籌子,44999,オホサウヂ
1172,村山 籌子,44931,一人　二人
1154,岸田 国士,44860,もうひと息
1154,岸田 国士,44876,「花問答」後記
26,中原 中也,55927,（最も純粋に意地悪い奴）
1475,小川 未明,52059,黒いちょうとお母さん
1475,小川 未明,51526,木の上と下の話
1821,蔵原 伸二郎,56981,自序にかえて
1475,小川 未明,51754,ある少年の正月の日記
1475,小川 未明,50999,金の輪
1475,小川 未明,51592,すずめの巣
1475,小川 未明,52036,朝の公園
1180,沖野 岩三郎,45173,にらめつくらの鬼瓦
1154,岸田 国士,44628,母親の心理学
1475,小川 未明,51015,町のお姫さま
26,中原 中也,51316,古代土器の印象
1154,岸田 国士,44701,新しい芝居
1475,小川 未明,52121,笑わなかった少年
1475,小川 未明,51103,村の兄弟
1475,小川 未明,51123,冬の木立
1726,長谷川 伸,56602,母
1475,小川 未明,51021,ものぐさじじいの来世
293,原 民喜,43539,二つの頭
311,宮本 百合子,15977,『進み行く娘達へ』に寄せて
1475,小川 未明,52038,いちょうの葉
1637,中野 鈴子,59057,ふしあわせ者のうた
1166,中井 正一,43724,生まれ変った赤坂離宮
1475,小川 未明,52110,僕がかわいがるから
26,中原 中也,55902,初恋
1172,村山 籌子,44991,きりぎりす　の　かひもの
26,中原 中也,55906,迷つてゐます
81,宮沢 賢治,1949,ツェねずみ
1475,小川 未明,52058,草を分けて
107,鈴木 三重吉,18375,やどなし犬
1889,山中 峯太郎,58030,小指一本の大試合
1092,グリム ヴィルヘルム・カール,59520,忠義者のヨハネス
1155,チェーホフ アントン,45196,子守つ子
1861,河井 酔茗,57431,ゆづり葉
1471,今野 大力,55595,土
1666,漢那 浪笛,1497,盃
136,山村 暮鳥,45041,春
121,新美 南吉,45097,ごろぜみ
1471,今野 大力,55560,三月の自然
1172,村山 籌子,44983,川の中へおつこちたお猫さん
1172,村山 籌子,44941,オヤカン　ト　オナベ　ト　フライパン　ノ　ケンクワ
1475,小川 未明,52068,真吉とお母さん
1475,小川 未明,51006,王さまの感心された話
1471,今野 大力,55556,海の誘惑
25,有島 武郎,56501,かたわ者
26,中原 中也,50255,Me Voilà
1475,小川 未明,51048,二つの運命
107,鈴木 三重吉,45187,小犬
1172,村山 籌子,44943,たまごとおつきさま
1475,小川 未明,52070,真坊と和尚さま
1475,小川 未明,51695,芽は伸びる
311,宮本 百合子,15964,書斎の条件
1475,小川 未明,52051,からすとかがし
26,中原 中也,51318,詩人は辛い
76,岡本 かの子,4543,山茶花
1154,岸田 国士,44440,女性風俗時評
1154,岸田 国士,44434,希望
1475,小川 未明,51119,あんずの花
311,宮本 百合子,15996,「広場」について
311,宮本 百合子,15997,はしがき（『十二年の手紙』その一）
121,新美 南吉,43410,驢馬の　びっこ
1154,岸田 国士,44630,画期的な企て
1475,小川 未明,50976,海の少年
329,楠山 正雄,18379,くらげのお使い
26,中原 中也,51334,コキューの憶ひ出
26,中原 中也,51326,夏と私
1471,今野 大力,55582,猛炎
26,中原 中也,51324,疲れやつれた美しい顔
1475,小川 未明,51101,青い花の香り
1095,坂口 安吾,43191,「街はふるさと」作者の言葉
908,坂本 竜馬,51938,手紙
1960,ミルン アラン・アレクザンダー,58821,ぼくら　ふたり
1154,岸田 国士,44747,文学座『夢を喰ふ女』を演出して
311,宮本 百合子,15973,ゆがめられた純情
1471,今野 大力,55518,娘
1154,岸田 国士,44675,「国語文化講座」監修者の言葉
2085,間所 紗織,59723,“青い顔”
1154,岸田 国士,44883,「演劇美の本質」はしがき
1403,北大路 魯山人,50017,デンマークのビール
1166,中井 正一,49710,支部図書館三周年に寄せて
908,坂本 竜馬,52152,和歌一
1154,岸田 国士,44323,出発点
1475,小川 未明,51505,一銭銅貨
1154,岸田 国士,44757,『跫音』の序にかへて
1569,中谷 宇吉郎,57269,金鱗湖
329,楠山 正雄,18389,鬼六
107,鈴木 三重吉,45192,乞食の子
908,坂本 竜馬,51449,手紙
1637,中野 鈴子,59058,スペインの女
908,坂本 竜馬,51432,手紙
1154,岸田 国士,44638,期待する人
1475,小川 未明,51583,少年の日二景
106,北原 白秋,55768,疲レ
1172,村山 籌子,44977,あひるさん　と　時計
1861,河井 酔茗,57428,堺へ帰らう
1235,カフカ フランツ,49858,家長の心配
1475,小川 未明,51681,町はずれの空き地
26,中原 中也,55919,（成程）
1475,小川 未明,51571,こま
908,坂本 竜馬,51788,手紙
1154,岸田 国士,44830,作者の言葉（「牛山ホテル」の後に）
1637,中野 鈴子,58803,方向
1403,北大路 魯山人,49983,尋常一様
908,坂本 竜馬,52154,和歌二
26,中原 中也,55924,（ダダイストが大砲だのに）
1475,小川 未明,52105,左ぎっちょの正ちゃん
26,中原 中也,55713,書信
908,坂本 竜馬,52139,続　手紙
908,坂本 竜馬,51420,手紙
908,坂本 竜馬,51965,手紙
136,山村 暮鳥,45047,雪虫の唄
1172,村山 籌子,44942,しんばい
1475,小川 未明,52117,やんま
1095,坂口 安吾,43164,「復員殺人事件」について
678,富永 太郎,55490,無題
1475,小川 未明,51653,はととりんご
1471,今野 大力,55599,静夜昇天
1471,今野 大力,55592,東方の窓辺にて
1311,三好 十郎,50254,「冒した者」について
1134,ペロー シャルル,43120,灰だらけ姫
1475,小川 未明,51093,赤い魚と子供
1569,中谷 宇吉郎,57461,「先生を囲る話」について
1154,岸田 国士,44758,辻久一著「夜の芸術」
1475,小川 未明,52062,子ざると母ざる
1763,佐藤 春夫,58794,宇野浩二君を思う
